Joint Angles,Hand Matrix,Model,Model Matrix,Camera Transform,Image Save Name,Image Size
"0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0","[[ 0.    1.    0.    0.  ]
 [ 0.    0.    1.   -0.17]
 [ 1.    0.    0.    0.  ]
 [ 0.    0.    0.    1.  ]]",cylinder_h17_w17_e17,"[[ 1.  0.  0.  0.]
 [ 0.  1.  0.  0.]
 [ 0.  0.  1.  0.]
 [ 0.  0.  0.  1.]]","80, -2.355, -1.42799666072",GeneratedImages/Grasps/cylinder_h17_w17_e17_3fingerpinch_top_cam1,
"0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0","[[ 0.    1.    0.    0.  ]
 [ 0.    0.    1.   -0.17]
 [ 1.    0.    0.    0.  ]
 [ 0.    0.    0.    1.  ]]",cylinder_h17_w17_e17,"[[ 0 -1  0  0]
 [ 1  0  0  0]
 [ 0  0  1  0]
 [ 0  0  0  1]]","80, -2.355, -1.42799666072",GeneratedImages/Grasps/cylinderRot_h17_w17_e17_3fingerpinch_top_cam1,
"0,0,1.0471975512,0.0,0.0,1.0471975512,0.0,0.0,0.0,0.0","[[-1.     0.     0.     0.   ]
 [ 0.    -1.     0.    -0.056]
 [ 0.     0.     1.    -0.18 ]
 [ 0.     0.     0.     1.   ]]",cylinder_h17_w17_e17,"[[ 1.  0.  0.  0.]
 [ 0.  1.  0.  0.]
 [ 0.  0.  1.  0.]
 [ 0.  0.  0.  1.]]","80, -2.355, -0.449",GeneratedImages/Grasps/cylinder_h17_w17_e17_equidistant_side_cam0,
"0,0,1.0471975512,0.0,0.0,1.0471975512,0.0,0.0,0.0,0.0","[[-1.     0.     0.     0.   ]
 [ 0.    -1.     0.    -0.056]
 [ 0.     0.     1.    -0.18 ]
 [ 0.     0.     0.     1.   ]]",cylinder_h17_w17_e17,"[[ 0 -1  0  0]
 [ 1  0  0  0]
 [ 0  0  1  0]
 [ 0  0  0  1]]","80, -2.355, -0.449",GeneratedImages/Grasps/cylinderRot_h17_w17_e17_equidistant_side_cam0,
"0,0,1.0471975512,0.0,0.0,1.0471975512,0.0,0.0,0.0,0.0","[[-1.     0.     0.     0.   ]
 [ 0.    -1.     0.    -0.056]
 [ 0.     0.     1.    -0.18 ]
 [ 0.     0.     0.     1.   ]]",cylinder_h17_w17_e17,"[[ 1.  0.  0.  0.]
 [ 0.  1.  0.  0.]
 [ 0.  0.  1.  0.]
 [ 0.  0.  0.  1.]]","80, -2.355, -1.42799666072",GeneratedImages/Grasps/cylinder_h17_w17_e17_equidistant_side_cam1,
"0,0,1.0471975512,0.0,0.0,1.0471975512,0.0,0.0,0.0,0.0","[[-1.     0.     0.     0.   ]
 [ 0.    -1.     0.    -0.056]
 [ 0.     0.     1.    -0.18 ]
 [ 0.     0.     0.     1.   ]]",cylinder_h17_w17_e17,"[[ 0 -1  0  0]
 [ 1  0  0  0]
 [ 0  0  1  0]
 [ 0  0  0  1]]","80, -2.355, -1.42799666072",GeneratedImages/Grasps/cylinderRot_h17_w17_e17_equidistant_side_cam1,
"0,0,1.0471975512,0.0,0.0,1.0471975512,0.0,0.0,0.0,0.0","[[ 1.    0.    0.    0.  ]
 [ 0.    0.    1.   -0.17]
 [ 0.   -1.    0.    0.  ]
 [ 0.    0.    0.    1.  ]]",cylinder_h17_w17_e17,"[[ 1.  0.  0.  0.]
 [ 0.  1.  0.  0.]
 [ 0.  0.  1.  0.]
 [ 0.  0.  0.  1.]]","80, -2.355, -0.449",GeneratedImages/Grasps/cylinder_h17_w17_e17_equidistant_top_cam0,
"0,0,1.0471975512,0.0,0.0,1.0471975512,0.0,0.0,0.0,0.0","[[ 1.    0.    0.    0.  ]
 [ 0.    0.    1.   -0.17]
 [ 0.   -1.    0.    0.  ]
 [ 0.    0.    0.    1.  ]]",cylinder_h17_w17_e17,"[[ 0 -1  0  0]
 [ 1  0  0  0]
 [ 0  0  1  0]
 [ 0  0  0  1]]","80, -2.355, -0.449",GeneratedImages/Grasps/cylinderRot_h17_w17_e17_equidistant_top_cam0,
"0,0,1.0471975512,0.0,0.0,1.0471975512,0.0,0.0,0.0,0.0","[[ 1.    0.    0.    0.  ]
 [ 0.    0.    1.   -0.17]
 [ 0.   -1.    0.    0.  ]
 [ 0.    0.    0.    1.  ]]",cylinder_h17_w17_e17,"[[ 1.  0.  0.  0.]
 [ 0.  1.  0.  0.]
 [ 0.  0.  1.  0.]
 [ 0.  0.  0.  1.]]","80, -2.355, -1.42799666072",GeneratedImages/Grasps/cylinder_h17_w17_e17_equidistant_top_cam1,
"0,0,1.0471975512,0.0,0.0,1.0471975512,0.0,0.0,0.0,0.0","[[ 1.    0.    0.    0.  ]
 [ 0.    0.    1.   -0.17]
 [ 0.   -1.    0.    0.  ]
 [ 0.    0.    0.    1.  ]]",cylinder_h17_w17_e17,"[[ 0 -1  0  0]
 [ 1  0  0  0]
 [ 0  0  1  0]
 [ 0  0  0  1]]","80, -2.355, -1.42799666072",GeneratedImages/Grasps/cylinderRot_h17_w17_e17_equidistant_top_cam1,
"0,0,3.14159265359,0.0,0.0,3.14159265359,0.0,0.0,0.0,0.0","[[ 0.    1.    0.    0.  ]
 [-1.    0.    0.   -0.02]
 [ 0.    0.    1.   -0.18]
 [ 0.    0.    0.    1.  ]]",cylinder_h17_w17_e17,"[[ 1.  0.  0.  0.]
 [ 0.  1.  0.  0.]
 [ 0.  0.  1.  0.]
 [ 0.  0.  0.  1.]]","80, -2.355, -0.449",GeneratedImages/Grasps/cylinder_h17_w17_e17_hook_side_cam0,
"0,0,3.14159265359,0.0,0.0,3.14159265359,0.0,0.0,0.0,0.0","[[ 0.    1.    0.    0.  ]
 [-1.    0.    0.   -0.02]
 [ 0.    0.    1.   -0.18]
 [ 0.    0.    0.    1.  ]]",cylinder_h17_w17_e17,"[[ 0 -1  0  0]
 [ 1  0  0  0]
 [ 0  0  1  0]
 [ 0  0  0  1]]","80, -2.355, -0.449",GeneratedImages/Grasps/cylinderRot_h17_w17_e17_hook_side_cam0,
"0,0,3.14159265359,0.0,0.0,3.14159265359,0.0,0.0,0.0,0.0","[[ 0.    1.    0.    0.  ]
 [-1.    0.    0.   -0.02]
 [ 0.    0.    1.   -0.18]
 [ 0.    0.    0.    1.  ]]",cylinder_h17_w17_e17,"[[ 1.  0.  0.  0.]
 [ 0.  1.  0.  0.]
 [ 0.  0.  1.  0.]
 [ 0.  0.  0.  1.]]","80, -2.355, -1.42799666072",GeneratedImages/Grasps/cylinder_h17_w17_e17_hook_side_cam1,
"0,0,3.14159265359,0.0,0.0,3.14159265359,0.0,0.0,0.0,0.0","[[ 0.    1.    0.    0.  ]
 [-1.    0.    0.   -0.02]
 [ 0.    0.    1.   -0.18]
 [ 0.    0.    0.    1.  ]]",cylinder_h17_w17_e17,"[[ 0 -1  0  0]
 [ 1  0  0  0]
 [ 0  0  1  0]
 [ 0  0  0  1]]","80, -2.355, -1.42799666072",GeneratedImages/Grasps/cylinderRot_h17_w17_e17_hook_side_cam1,
"0,0,3.14159265359,0.0,0.0,3.14159265359,0.0,0.0,0.0,0.0","[[-1.    0.    0.    0.  ]
 [ 0.    0.    1.   -0.17]
 [ 0.    1.    0.    0.  ]
 [ 0.    0.    0.    1.  ]]",cylinder_h17_w17_e17,"[[ 1.  0.  0.  0.]
 [ 0.  1.  0.  0.]
 [ 0.  0.  1.  0.]
 [ 0.  0.  0.  1.]]","80, -2.355, -0.449",GeneratedImages/Grasps/cylinder_h17_w17_e17_hook_top_cam0,
"0,0,3.14159265359,0.0,0.0,3.14159265359,0.0,0.0,0.0,0.0","[[-1.    0.    0.    0.  ]
 [ 0.    0.    1.   -0.17]
 [ 0.    1.    0.    0.  ]
 [ 0.    0.    0.    1.  ]]",cylinder_h17_w17_e17,"[[ 0 -1  0  0]
 [ 1  0  0  0]
 [ 0  0  1  0]
 [ 0  0  0  1]]","80, -2.355, -0.449",GeneratedImages/Grasps/cylinderRot_h17_w17_e17_hook_top_cam0,
"0,0,3.14159265359,0.0,0.0,3.14159265359,0.0,0.0,0.0,0.0","[[-1.    0.    0.    0.  ]
 [ 0.    0.    1.   -0.17]
 [ 0.    1.    0.    0.  ]
 [ 0.    0.    0.    1.  ]]",cylinder_h17_w17_e17,"[[ 1.  0.  0.  0.]
 [ 0.  1.  0.  0.]
 [ 0.  0.  1.  0.]
 [ 0.  0.  0.  1.]]","80, -2.355, -1.42799666072",GeneratedImages/Grasps/cylinder_h17_w17_e17_hook_top_cam1,
"0,0,3.14159265359,0.0,0.0,3.14159265359,0.0,0.0,0.0,0.0","[[-1.    0.    0.    0.  ]
 [ 0.    0.    1.   -0.17]
 [ 0.    1.    0.    0.  ]
 [ 0.    0.    0.    1.  ]]",cylinder_h17_w17_e17,"[[ 0 -1  0  0]
 [ 1  0  0  0]
 [ 0  0  1  0]
 [ 0  0  0  1]]","80, -2.355, -1.42799666072",GeneratedImages/Grasps/cylinderRot_h17_w17_e17_hook_top_cam1,
"0,0,1.57079632679,0.0,0.0,1.57079632679,0.0,0.0,0.0,0.0","[[-1.     0.     0.     0.   ]
 [ 0.    -1.     0.    -0.016]
 [ 0.     0.     1.    -0.18 ]
 [ 0.     0.     0.     1.   ]]",cylinder_h17_w17_e17,"[[ 1.  0.  0.  0.]
 [ 0.  1.  0.  0.]
 [ 0.  0.  1.  0.]
 [ 0.  0.  0.  1.]]","80, -2.355, -0.449",GeneratedImages/Grasps/cylinder_h17_w17_e17_2fingerpinch_side_cam0,
"0,0,1.57079632679,0.0,0.0,1.57079632679,0.0,0.0,0.0,0.0","[[-1.     0.     0.     0.   ]
 [ 0.    -1.     0.    -0.016]
 [ 0.     0.     1.    -0.18 ]
 [ 0.     0.     0.     1.   ]]",cylinder_h17_w17_e17,"[[ 0 -1  0  0]
 [ 1  0  0  0]
 [ 0  0  1  0]
 [ 0  0  0  1]]","80, -2.355, -0.449",GeneratedImages/Grasps/cylinderRot_h17_w17_e17_2fingerpinch_side_cam0,
"0,0,1.57079632679,0.0,0.0,1.57079632679,0.0,0.0,0.0,0.0","[[-1.     0.     0.     0.   ]
 [ 0.    -1.     0.    -0.016]
 [ 0.     0.     1.    -0.18 ]
 [ 0.     0.     0.     1.   ]]",cylinder_h17_w17_e17,"[[ 1.  0.  0.  0.]
 [ 0.  1.  0.  0.]
 [ 0.  0.  1.  0.]
 [ 0.  0.  0.  1.]]","80, -2.355, -1.42799666072",GeneratedImages/Grasps/cylinder_h17_w17_e17_2fingerpinch_side_cam1,
"0,0,1.57079632679,0.0,0.0,1.57079632679,0.0,0.0,0.0,0.0","[[-1.     0.     0.     0.   ]
 [ 0.    -1.     0.    -0.016]
 [ 0.     0.     1.    -0.18 ]
 [ 0.     0.     0.     1.   ]]",cylinder_h17_w17_e17,"[[ 0 -1  0  0]
 [ 1  0  0  0]
 [ 0  0  1  0]
 [ 0  0  0  1]]","80, -2.355, -1.42799666072",GeneratedImages/Grasps/cylinderRot_h17_w17_e17_2fingerpinch_side_cam1,
"0,0,1.57079632679,0.0,0.0,1.57079632679,0.0,0.0,0.0,0.0","[[-1.    0.    0.    0.  ]
 [ 0.    0.    1.   -0.17]
 [ 0.    1.    0.    0.  ]
 [ 0.    0.    0.    1.  ]]",cylinder_h17_w17_e17,"[[ 1.  0.  0.  0.]
 [ 0.  1.  0.  0.]
 [ 0.  0.  1.  0.]
 [ 0.  0.  0.  1.]]","80, -2.355, -0.449",GeneratedImages/Grasps/cylinder_h17_w17_e17_2fingerpinch_top_cam0,
"0,0,1.57079632679,0.0,0.0,1.57079632679,0.0,0.0,0.0,0.0","[[-1.    0.    0.    0.  ]
 [ 0.    0.    1.   -0.17]
 [ 0.    1.    0.    0.  ]
 [ 0.    0.    0.    1.  ]]",cylinder_h17_w17_e17,"[[ 0 -1  0  0]
 [ 1  0  0  0]
 [ 0  0  1  0]
 [ 0  0  0  1]]","80, -2.355, -0.449",GeneratedImages/Grasps/cylinderRot_h17_w17_e17_2fingerpinch_top_cam0,
"0,0,1.57079632679,0.0,0.0,1.57079632679,0.0,0.0,0.0,0.0","[[-1.    0.    0.    0.  ]
 [ 0.    0.    1.   -0.17]
 [ 0.    1.    0.    0.  ]
 [ 0.    0.    0.    1.  ]]",cylinder_h17_w17_e17,"[[ 1.  0.  0.  0.]
 [ 0.  1.  0.  0.]
 [ 0.  0.  1.  0.]
 [ 0.  0.  0.  1.]]","80, -2.355, -1.42799666072",GeneratedImages/Grasps/cylinder_h17_w17_e17_2fingerpinch_top_cam1,
"0,0,1.57079632679,0.0,0.0,1.57079632679,0.0,0.0,0.0,0.0","[[-1.    0.    0.    0.  ]
 [ 0.    0.    1.   -0.17]
 [ 0.    1.    0.    0.  ]
 [ 0.    0.    0.    1.  ]]",cylinder_h17_w17_e17,"[[ 0 -1  0  0]
 [ 1  0  0  0]
 [ 0  0  1  0]
 [ 0  0  0  1]]","80, -2.355, -1.42799666072",GeneratedImages/Grasps/cylinderRot_h17_w17_e17_2fingerpinch_top_cam1,
